Summary :
	C	Count	Total
	-	-----	-----
	1	    1	    1
	2	   75	   76
	3	   32	   33
	4	  132	  208
	6	   96	  204
	8	   48	  256

Schema :
	N	P 	Xor PermutationInt64
	-	--	--------------------
	0	 1	0000 0000  0000 0000
 203	80C4 A2E6  91D5 B3F7	4	8 3210	1 3210	2x2
 204	98BA 1032  DCFE 5476	4	9 0132	5 0132	2x2
 205	9810 DC54  BA32 FE76	4	9 0321	3 0321	2x2
 206	9B8A DFCE  1302 5746	4	9 1023	A 1023	2x2
 207	9B8A 1302  DFCE 5746	4	9 1032	6 1032	2x2
 208	9DBF 8CAE  1537 0426	4	9 2103	C 2103	2x2
 209	9D15 8C04  BF37 AE26	4	9 2301	6 2301	2x2
 210	AB89 2301  EFCD 6745	4	A 0132	6 0132	2x2
 211	ABEF 89CD  2367 0145	4	A 0213	C 0213	2x2
 212	A8B9 ECFD  2031 6475	4	A 1023	9 1023	2x2
 213	A8B9 2031  ECFD 6475	4	A 1032	5 1032	2x2
 214	A280 E6C4  B391 F7D5	4	A 3120	3 3120	2x2
 215	A2E6 80C4  B3F7 91D5	4	A 3210	5 3210	2x2
 216	BA98 3210  FEDC 7654	4	B 0132	7 0132	2x2
 217	BAFE 98DC  3276 1054	4	B 0213	D 0213	2x2
 218	B9A8 3120  FDEC 7564	4	B 1032	7 1032	2x2
 219	BF9D AE8C  3715 2604	4	B 2103	E 2103	2x2
 220	BF37 AE26  9D15 8C04	4	B 2301	E 2301	2x2
 221	B3F7 91D5  A2E6 80C4	4	B 3210	D 3210	2x2
 222	CD89 EFAB  4501 6723	4	C 0213	A 0213	2x2
 223	CD45 8901  EF67 AB23	4	C 0321	6 0321	2x2
 224	C8EA D9FB  4062 5173	4	C 2103	9 2103	2x2
 225	C840 D951  EA62 FB73	4	C 2301	3 2301	2x2
 226	C4E6 80A2  D5F7 91B3	4	C 3120	5 3120	2x2
 227	C480 E6A2  D591 F7B3	4	C 3210	3 3210	2x2
 228	DC98 FEBA  5410 7632	4	D 0213	B 0213	2x2
 229	DC54 9810  FE76 BA32	4	D 0321	7 0321	2x2
 230	DFCE 9B8A  5746 1302	4	D 1023	E 1023	2x2
 231	DFCE 5746  9B8A 1302	4	D 1032	E 1032	2x2
 232	D951 C840  FB73 EA62	4	D 2301	7 2301	2x2
 233	D591 F7B3  C480 E6A2	4	D 3210	B 3210	2x2
 234	ECFD A8B9  6475 2031	4	E 1023	D 1023	2x2
 235	ECFD 6475  A8B9 2031	4	E 1032	D 1032	2x2
 236	EAC8 FBD9  6240 7351	4	E 2103	B 2103	2x2
 237	EA62 FB73  C840 D951	4	E 2301	B 2301	2x2
 238	E6C4 A280  F7D5 B391	4	E 3120	7 3120	2x2
 239	E6A2 C480  F7B3 D591	4	E 3210	7 3210	2x2
    	                    	 	      	      	   
 240	1054 98DC  3276 BAFE	6	1 0231	1 0312	3x2
 241	1098 32BA  54DC 76FE	6	1 0312	1 0231	3x2
 242	1357 0246  9BDF 8ACE	6	1 1203	4 2013	3x2
 243	139B 57DF  028A 46CE	6	1 1320	8 3021	3x2
 244	1504 3726  9D8C BFAE	6	1 2013	2 1203	3x2
 245	1537 9DBF  0426 8CAE	6	1 2130	8 3102	3x2
 246	1908 5D4C  3B2A 7F6E	6	1 3021	2 1320	3x2
 247	193B 082A  5D7F 4C6E	6	1 3102	4 2130	3x2
 248	2367 ABEF  0145 89CD	6	2 0231	8 0312	3x2
 249	23AB 0189  67EF 45CD	6	2 0312	4 0231	3x2
 250	2064 3175  A8EC B9FD	6	2 1203	1 2013	3x2
 251	20A8 64EC  31B9 75FD	6	2 1320	1 3021	3x2
 252	2637 0415  AEBF 8C9D	6	2 2013	4 1203	3x2
 253	2604 AE8C  3715 BF9D	6	2 2130	2 3102	3x2
 254	2A3B 6E7F  0819 4C5D	6	2 3021	8 1320	3x2
 255	2A08 3B19  6E4C 7F5D	6	2 3102	2 2130	3x2
 256	3276 BAFE  1054 98DC	6	3 0231	9 0312	3x2
 257	32BA 1098  76FE 54DC	6	3 0312	5 0231	3x2
 258	3715 BF9D  2604 AE8C	6	3 2130	A 3102	3x2
 259	3B19 2A08  7F5D 6E4C	6	3 3102	6 2130	3x2
 260	4501 CD89  6723 EFAB	6	4 0231	2 0312	3x2
 261	45CD 67EF  0189 23AB	6	4 0312	8 0231	3x2
 262	4602 5713  CE8A DF9B	6	4 1203	2 2013	3x2
 263	46CE 028A  57DF 139B	6	4 1320	4 3021	3x2
 264	4051 6273  C8D9 EAFB	6	4 2013	1 1203	3x2
 265	4062 C8EA  5173 D9FB	6	4 2130	1 3102	3x2
 266	4C5D 0819  6E7F 2A3B	6	4 3021	4 1320	3x2
 267	4C6E 5D7F  082A 193B	6	4 3102	8 2130	3x2
 268	5410 DC98  7632 FEBA	6	5 0231	3 0312	3x2
 269	54DC 76FE  1098 32BA	6	5 0312	9 0231	3x2
 270	57DF 139B  46CE 028A	6	5 1320	C 3021	3x2
 271	5D4C 1908  7F6E 3B2A	6	5 3021	6 1320	3x2
 272	64EC 20A8  75FD 31B9	6	6 1320	5 3021	3x2
 273	6240 EAC8  7351 FBD9	6	6 2130	3 3102	3x2
 274	6E7F 2A3B  4C5D 0819	6	6 3021	C 1320	3x2
 275	6E4C 7F5D  2A08 3B19	6	6 3102	A 2130	3x2
 276	7632 FEBA  5410 DC98	6	7 0231	B 0312	3x2
 277	76FE 54DC  32BA 1098	6	7 0312	D 0231	3x2
 278	7531 6420  FDB9 ECA8	6	7 1203	7 2013	3x2
 279	75FD 31B9  64EC 20A8	6	7 1320	D 3021	3x2
 280	7362 5140  FBEA D9C8	6	7 2013	7 1203	3x2
 281	7351 FBD9  6240 EAC8	6	7 2130	B 3102	3x2
 282	7F6E 3B2A  5D4C 1908	6	7 3021	E 1320	3x2
 283	7F5D 6E4C  3B19 2A08	6	7 3102	E 2130	3x2
 284	89CD 0145  ABEF 2367	6	8 0231	4 0312	3x2
 285	8901 AB23  CD45 EF67	6	8 0312	2 0231	3x2
 286	8ACE 9BDF  0246 1357	6	8 1203	8 2013	3x2
 287	8A02 CE46  9B13 DF57	6	8 1320	2 3021	3x2
 288	8C9D AEBF  0415 2637	6	8 2013	8 1203	3x2
 289	8CAE 0426  9DBF 1537	6	8 2130	4 3102	3x2
 290	8091 C4D5  A2B3 E6F7	6	8 3021	1 1320	3x2
 291	80A2 91B3  C4E6 D5F7	6	8 3102	1 2130	3x2
 292	98DC 1054  BAFE 3276	6	9 0231	5 0312	3x2
 293	9810 BA32  DC54 FE76	6	9 0312	3 0231	3x2
 294	9BDF 8ACE  1357 0246	6	9 1203	C 2013	3x2
 295	9D8C BFAE  1504 3726	6	9 2013	A 1203	3x2
 296	A8EC B9FD  2064 3175	6	A 1203	9 2013	3x2
 297	AEBF 8C9D  2637 0415	6	A 2013	C 1203	3x2
 298	AE8C 2604  BF9D 3715	6	A 2130	6 3102	3x2
 299	A280 B391  E6C4 F7D5	6	A 3102	3 2130	3x2
 300	BAFE 3276  98DC 1054	6	B 0231	D 0312	3x2
 301	BA32 9810  FE76 DC54	6	B 0312	7 0231	3x2
 302	B9FD A8EC  3175 2064	6	B 1203	D 2013	3x2
 303	B931 FD75  A820 EC64	6	B 1320	B 3021	3x2
 304	BFAE 9D8C  3726 1504	6	B 2013	E 1203	3x2
 305	BF9D 3715  AE8C 2604	6	B 2130	E 3102	3x2
 306	B3A2 F7E6  9180 D5C4	6	B 3021	B 1320	3x2
 307	B391 A280  F7D5 E6C4	6	B 3102	7 2130	3x2
 308	CE8A DF9B  4602 5713	6	C 1203	A 2013	3x2
 309	CE46 8A02  DF57 9B13	6	C 1320	6 3021	3x2
 310	C8D9 EAFB  4051 6273	6	C 2013	9 1203	3x2
 311	C4D5 8091  E6F7 A2B3	6	C 3021	5 1320	3x2
 312	DC98 5410  FEBA 7632	6	D 0231	7 0312	3x2
 313	DC54 FE76  9810 BA32	6	D 0312	B 0231	3x2
 314	DF9B CE8A  5713 4602	6	D 1203	E 2013	3x2
 315	DF57 9B13  CE46 8A02	6	D 1320	E 3021	3x2
 316	D9C8 FBEA  5140 7362	6	D 2013	B 1203	3x2
 317	D9FB 5173  C8EA 4062	6	D 2130	D 3102	3x2
 318	D5C4 9180  F7E6 B3A2	6	D 3021	7 1320	3x2
 319	D5F7 C4E6  91B3 80A2	6	D 3102	D 2130	3x2
 320	EFAB 6723  CD89 4501	6	E 0231	E 0312	3x2
